init_joint_angles,x_target,y_target,Theta,iter_count,cost
[2.76355729 2.41565672 0.54568809],-0.9569403357322088,-0.2902846772544621,"[[ 2.14808196 -7.67950268 -1.32201481]
 [ 0.52117376 -0.13434147 -2.43351792]
 [ 0.11861313 -5.74416811  0.93551159]
 [ 0.36564408 -0.21551234 -1.42473985]
 [ 0.48966866  0.03127595 -1.8614984 ]]",27,3.3183732421454226
[2.76355729 2.41565672 0.54568809],-0.9700312531945439,-0.2429801799032638,"[[ 2.12982639 -7.67435066 -0.77855516]
 [ 0.76162363 -0.29257891 -3.09907694]
 [-0.55041957 -5.83373481  1.16352155]
 [ 0.37035345 -0.38847822 -1.26265551]
 [ 0.53953083 -0.13430373 -1.42140855]]",6,3.2684228435289238
[2.76355729 2.41565672 0.54568809],-0.9807852804032304,-0.19509032201612792,"[[ 1.8193199  -7.61468219 -0.36191638]
 [ 0.68067171 -0.28653224 -2.97791178]
 [-0.64522925 -5.39152892  0.86249765]
 [ 0.4184592  -0.43159234 -0.86528272]
 [ 0.42315377 -0.30915773 -1.49594437]]",6,3.224542058500905
[2.76355729 2.41565672 0.54568809],-0.9891765099647809,-0.14673047445536155,"[[ 1.6086637  -7.61382017 -0.52626217]
 [ 0.55286858 -0.31149179 -3.18885069]
 [-0.7289397  -5.35790721  0.92855089]
 [ 0.70567909 -0.64601759 -0.9855587 ]
 [ 0.5050055  -0.09013774 -1.53181521]]",6,3.170777868953021
[2.76355729 2.41565672 0.54568809],-0.9951847266721968,-0.09801714032956058,"[[ 1.2407587  -7.64572019 -0.33870223]
 [ 0.63947606 -0.36244737 -3.14619307]
 [-0.66044951 -5.58272052  0.96601288]
 [ 0.69424254 -0.62127731 -0.99071256]
 [ 0.65005076  0.13567473 -1.32864416]]",5,3.121012524337617
[2.76355729 2.41565672 0.54568809],-0.9987954562051723,-0.04906767432741772,"[[ 1.03810046 -7.58642438 -0.46177093]
 [ 0.73535242 -0.61124564 -3.32618902]
 [-0.66150741 -5.72034737  0.74046642]
 [ 0.66790257 -0.45235265 -0.95416234]
 [ 0.65585534 -0.05627331 -1.15364335]]",6,3.0746465397165434
[2.76355729 2.41565672 0.54568809],-0.9999999999999999,1.224646799147353e-16,"[[ 0.81526504 -7.35662952 -0.35593979]
 [ 0.32628183 -0.49917589 -3.65370013]
 [-0.31664349 -5.80634922  0.78576029]
 [ 0.50384391 -0.41053106 -0.80951943]
 [ 0.89615616  0.00829519 -1.12346379]]",6,3.0256164573141513
[2.76355729 2.41565672 0.54568809],-0.9987954562051723,0.049067674327417966,"[[ 0.70661401 -7.41626554 -0.82845267]
 [ 0.38272696 -0.49547301 -3.64518346]
 [-0.52958781 -5.90029704  0.85034386]
 [ 0.5858282  -0.74576927 -0.99417196]
 [ 0.8655704   0.29276022 -1.03515815]]",5,2.9790520077461773
[2.76355729 2.41565672 0.54568809],-0.9951847266721967,0.09801714032956083,"[[ 0.39382106 -7.41005229 -1.34211874]
 [ 0.38057753 -0.94108451 -3.55014252]
 [-0.37284402 -5.69897852  0.52993186]
 [ 0.69080165 -0.56057056 -1.33913022]
 [ 1.21630216  0.10998417 -1.24851705]]",12,2.9446560148195378
[2.76355729 2.41565672 0.54568809],-0.9891765099647809,0.14673047445536178,"[[ 0.11745586 -7.61816375 -1.1591083 ]
 [ 0.23618041 -0.97130568 -3.51333808]
 [-0.17380821 -5.50462975  0.44230642]
 [ 0.73216609 -0.22759928 -1.22297158]
 [ 1.00131083  0.15385264 -1.22402482]]",9,2.892673586852099
[2.76355729 2.41565672 0.54568809],-0.9807852804032303,0.19509032201612814,"[[-1.27152081 -6.91814689 -0.31458116]
 [ 1.16156662 -0.72555327 -3.15696288]
 [-0.41464382 -6.24308848  0.43654866]
 [ 1.15704466 -0.043485   -1.43026118]
 [ 1.51138279  0.25892648 -1.33622943]]",15,2.838096214184219
[2.76355729 2.41565672 0.54568809],-0.9700312531945439,0.242980179903264,"[[-1.24504624 -7.33207383 -0.4938457 ]
 [ 1.29010922 -0.94844378 -3.8441245 ]
 [-0.50228641 -6.30208705  0.63015117]
 [ 0.96231117  0.20190801 -1.72047549]
 [ 1.30687839  0.45132941 -1.25228422]]",10,2.7933986454516133
[2.76355729 2.41565672 0.54568809],-0.9569403357322087,0.2902846772544623,"[[-1.39207643 -7.29106207 -1.246307  ]
 [ 1.08866369 -0.70753515 -4.05870188]
 [-0.41328382 -6.41721636  0.6556154 ]
 [ 0.79661893 -0.04645764 -1.82761682]
 [ 1.4716092   0.54991829 -0.94058471]]",9,2.7539253393879783
[2.76355729 2.41565672 0.54568809],-0.9415440651830206,0.3368898533922202,"[[-1.64498957 -7.42525235 -0.90022661]
 [ 1.02762045 -0.64346368 -3.951886  ]
 [-0.50270985 -6.42055888  0.35827905]
 [ 0.88126998  0.03689638 -1.94188481]
 [ 1.46421743  0.86685201 -0.7437332 ]]",5,2.7072083688171737
[2.76355729 2.41565672 0.54568809],-0.9238795325112866,0.3826834323650898,"[[-1.59603075 -7.71596085 -0.61896284]
 [ 0.97600721 -0.51799259 -3.77527646]
 [-1.10113606 -6.24230956  0.77393341]
 [ 0.87821565  0.19204077 -2.28676783]
 [ 1.38431505  1.14963085 -1.06596933]]",9,2.6572403433320626
[2.76355729 2.41565672 0.54568809],-0.9039892931234432,0.427555093430282,"[[-1.73623866 -7.59496562 -0.23186181]
 [ 0.87027358 -0.55731371 -3.73645223]
 [-1.23121822 -6.29383135  0.87251544]
 [ 0.9521015   0.14768603 -2.59179391]
 [ 1.21517426  1.25806764 -0.86422595]]",8,2.587970957998202
[2.76355729 2.41565672 0.54568809],-0.8819212643483548,0.47139673682599775,"[[-1.42384152 -7.55976703 -0.31446872]
 [ 0.55768568 -0.4722772  -4.03417063]
 [-1.50541437 -6.65356783  1.0063372 ]
 [ 0.63647343  0.11570883 -2.39692527]
 [ 1.18712418  0.97078286 -0.29507614]]",7,2.5450733988363075
[2.76355729 2.41565672 0.54568809],-0.857728610000272,0.5141027441932217,"[[-1.4945329  -7.39890286 -0.3010938 ]
 [ 0.39911741 -0.401821   -4.02188589]
 [-1.56837155 -6.41837211  0.70496   ]
 [ 0.58648807 -0.05814144 -2.50474699]
 [ 1.07206974  0.80676235 -0.35973816]]",5,2.500787235333962
[2.76355729 2.41565672 0.54568809],-0.8314696123025452,0.5555702330196021,"[[-1.65221295 -7.38043435 -0.69460328]
 [ 0.4423411  -0.48350674 -3.64327305]
 [-1.92176434 -6.46636664  0.64305583]
 [ 0.69292702 -0.11564042 -2.25934387]
 [ 1.13834746  0.94832523 -0.33148095]]",8,2.4433911088738935
[2.76355729 2.41565672 0.54568809],-0.8032075314806447,0.5956993044924334,"[[-1.78118374 -7.33202203 -1.44641942]
 [ 0.2651035  -0.35134708 -3.65435028]
 [-1.81158511 -6.58875456  0.48015712]
 [ 0.65834283 -0.15718679 -2.46261836]
 [ 1.11833403  0.96515975 -0.36697524]]",9,2.4074444673146598
[2.76355729 2.41565672 0.54568809],-0.7730104533627369,0.6343932841636454,"[[-2.06431037 -7.14277597 -0.99124041]
 [ 0.16699477 -0.64481014 -3.48498766]
 [-1.83562883 -6.86981777  0.14166641]
 [ 0.7169392  -0.07607185 -2.09377571]
 [ 1.45884835  0.90442726  0.12895994]]",11,2.3539903506017357
[2.76355729 2.41565672 0.54568809],-0.7409511253549591,0.6715589548470181,"[[-2.21490486 -6.82807922 -1.19077609]
 [-0.12679117 -0.62748516 -3.35320117]
 [-1.65552251 -6.91808913  0.2683768 ]
 [ 0.23917102  0.0773114  -1.91574447]
 [ 1.99269134  0.57046994 -0.10059357]]",9,2.2958522545603963
[2.76355729 2.41565672 0.54568809],-0.7071067811865474,0.7071067811865475,"[[-2.30459445 -6.83516685 -1.0121799 ]
 [-0.36693014 -0.72059013 -3.5810504 ]
 [-1.53785691 -7.03778895  0.38128436]
 [ 0.27027759  0.09800654 -1.80649829]
 [ 2.03475647  0.68814115 -0.0318634 ]]",5,2.2499543540108418
[2.76355729 2.41565672 0.54568809],-0.6715589548470183,0.7409511253549589,"[[-2.48656728 -6.74678163 -0.45950832]
 [-0.73967919 -0.89852188 -3.23949791]
 [-1.43212876 -7.01219217  0.19776162]
 [ 0.36097659  0.08796415 -1.38924332]
 [ 1.76787818  0.82280287 -0.10872614]]",7,2.193625707585327
[2.76355729 2.41565672 0.54568809],-0.6343932841636456,0.7730104533627368,"[[-2.40428525 -6.51500535 -0.7011263 ]
 [-0.68312495 -0.92508822 -3.49045219]
 [-1.69991099 -7.3827464   0.11279116]
 [-0.01990245 -0.09355032 -1.59121255]
 [ 1.82350877  1.1067526  -0.20116556]]",6,2.1469379680408203
[2.76355729 2.41565672 0.54568809],-0.5956993044924331,0.8032075314806448,"[[-2.73478273 -6.24360655 -0.68294434]
 [-0.82724518 -1.07477906 -3.50540885]
 [-1.64578557 -7.28742761  0.11268182]
 [ 0.20067465 -0.31991707 -1.49043114]
 [ 1.68809119  1.29877637 -0.08377145]]",5,2.0945297801263076
[2.76355729 2.41565672 0.54568809],-0.5555702330196022,0.831469612302545,"[[-2.97789838 -6.45579912 -0.83479609]
 [-0.9297223  -1.17189286 -3.42206469]
 [-1.5975474  -7.08250966  0.01558775]
 [ 0.26017809 -0.35171401 -1.48934784]
 [ 1.66689662  1.26214596  0.26545989]]",6,2.0680372411252836
[2.76355729 2.41565672 0.54568809],-0.5141027441932214,0.857728610000272,"[[-3.6303878  -5.59461072 -0.35766811]
 [-0.47478153 -1.98797363 -3.60791526]
 [-1.6693461  -7.26518522  0.15295962]
 [ 0.15092625 -0.16632947 -0.99824198]
 [ 1.57790895  1.75109913  0.22530655]]",10,1.9959780927295474
[2.76355729 2.41565672 0.54568809],-0.47139673682599764,0.8819212643483549,"[[-3.49061453 -5.80468453  0.21578694]
 [-0.66984665 -2.16820671 -3.5421147 ]
 [-1.68384583 -7.24408348  0.37170304]
 [-0.03066885 -0.52725219 -1.47515306]
 [ 1.25898632  1.55724371  0.28250466]]",7,1.9483971730372593
[2.76355729 2.41565672 0.54568809],-0.42755509343028225,0.9039892931234431,"[[-3.85156146 -5.41248263  0.24388218]
 [-0.23293495 -2.87776883 -4.09902616]
 [-2.04746535 -7.18092532  0.26198465]
 [-0.0289946  -0.60469081 -1.70311938]
 [ 1.41947958  1.68450535  0.46645929]]",11,1.916942780703996
[2.76355729 2.41565672 0.54568809],-0.38268343236508967,0.9238795325112866,"[[-4.07644074e+00 -5.71228599e+00  1.65773212e-01]
 [-4.32671560e-01 -2.66746461e+00 -4.21284411e+00]
 [-1.79112848e+00 -7.07551616e+00  1.71238128e-01]
 [ 5.23150406e-03 -4.38580852e-01 -1.92906991e+00]
 [ 1.41696711e+00  1.68911535e+00  4.78073931e-01]]",7,1.8672550388024658
[2.76355729 2.41565672 0.54568809],-0.3368898533922199,0.9415440651830207,"[[-4.37589416 -5.32522839  0.27720007]
 [-0.57799427 -2.77641067 -4.31835313]
 [-1.33878221 -7.34103551  0.1757846 ]
 [-0.36937296 -0.43291916 -1.7889959 ]
 [ 1.37589512  1.62096316  0.16903059]]",11,1.8090632473942696
[2.76355729 2.41565672 0.54568809],-0.29028467725446216,0.9569403357322088,"[[-4.37563917 -5.04934839 -0.1590749 ]
 [-0.96493369 -2.75883966 -3.88705478]
 [-1.43469076 -7.2094237   0.07557704]
 [-0.32451632 -0.56192858 -1.76308989]
 [ 1.30557299  1.63060782  0.02475222]]",7,1.7576637129437036
[2.76355729 2.41565672 0.54568809],-0.24298017990326384,0.9700312531945439,"[[-4.57341487 -4.70814283 -0.19769445]
 [-1.15052341 -2.64768664 -3.65199205]
 [-1.50856662 -7.15238925  0.22259056]
 [-0.54561895 -0.62094694 -2.0303386 ]
 [ 1.14560108  1.46448607  0.08300522]]",6,1.7033923419643568
[2.76355729 2.41565672 0.54568809],-0.19509032201612816,0.9807852804032303,"[[-4.79772789 -4.8574778  -0.24529521]
 [-1.22088294 -2.24268683 -3.94375058]
 [-1.52961237 -7.16843581  0.32472153]
 [-0.65452618 -0.75203188 -1.96249647]
 [ 1.01493323  1.1549807   0.31292576]]",6,1.6615059426135208
[2.76355729 2.41565672 0.54568809],-0.1467304744553616,0.9891765099647809,"[[-4.77045531 -5.31564949 -0.30857827]
 [-1.49831029 -1.71865727 -4.11894752]
 [-1.64832059 -7.24216388  0.49777329]
 [-0.56576344 -0.55595642 -2.03906372]
 [ 1.04911476  1.00466776  0.501578  ]]",6,1.6077630337623152
[2.76355729 2.41565672 0.54568809],-0.09801714032956042,0.9951847266721968,"[[-4.84789901 -5.29675074 -0.33847196]
 [-1.44080378 -1.83420814 -3.82156957]
 [-2.03453249 -7.21625492  0.390708  ]
 [-0.58690774 -0.16275108 -2.11892629]
 [ 0.80303128  1.06061501  0.50778482]]",7,1.5610994851567028
[2.76355729 2.41565672 0.54568809],-0.049067674327418,0.9987954562051723,"[[-5.28690567 -5.96859413 -0.29205196]
 [-1.35022015 -1.56850728 -3.64469565]
 [-1.41521735 -7.44108656  0.16176706]
 [-0.62107118 -0.04978943 -2.46481357]
 [ 0.48209476  0.94350102  0.45595682]]",7,1.5088477143861274
[2.76355729 2.41565672 0.54568809],6.123233995736765e-17,0.9999999999999999,"[[-5.11493003 -5.94508614 -0.96216554]
 [-2.0789259  -1.79964967 -3.30032872]
 [-1.16246651 -7.11242382  0.43285264]
 [-0.55463853 -0.17641378 -2.60561625]
 [ 0.64797989  0.809138    0.31633018]]",17,1.4649288226274992
[2.76355729 2.41565672 0.54568809],0.049067674327418126,0.9987954562051723,"[[-5.11049631 -5.57636415 -1.03664183]
 [-2.3735294  -2.32755126 -3.60431706]
 [-1.23872617 -7.55972204  0.60441273]
 [-0.37442399  0.01187059 -2.55542677]
 [ 0.57771174  0.89126197  0.17264637]]",5,1.4337996523010488
[2.76355729 2.41565672 0.54568809],0.09801714032956053,0.9951847266721968,"[[-5.28953127 -5.64768015 -1.04100528]
 [-2.2408736  -2.29168114 -3.48342667]
 [-1.49326227 -7.29367262  0.3881369 ]
 [-0.45699904  0.03327927 -2.50145764]
 [ 0.13479185  1.1174131   0.03246124]]",6,1.374249622545111
[2.76355729 2.41565672 0.54568809],0.14673047445536172,0.9891765099647809,"[[-5.39144145 -5.70771706 -1.10135468]
 [-2.30011876 -2.02049352 -3.8794088 ]
 [-1.6545474  -7.12947178  0.28081924]
 [-0.39460591 -0.05311986 -2.55261496]
 [-0.11531013  0.75261936  0.42906983]]",7,1.3305968186404176
[2.76355729 2.41565672 0.54568809],0.19509032201612828,0.9807852804032303,"[[-5.64086711 -5.82325931 -1.0055103 ]
 [-2.10457056 -1.8170757  -3.88719115]
 [-2.07201114 -7.15780635  0.54619575]
 [-0.39833717  0.31932852 -2.31780177]
 [-0.23107966  0.70990763  0.63662321]]",6,1.280762811400436
[2.76355729 2.41565672 0.54568809],0.24298017990326395,0.9700312531945439,"[[-5.46616589 -5.79247209 -1.07065213]
 [-2.47653005 -2.04203217 -3.85268116]
 [-2.19973889 -7.36637726  0.43850605]
 [-0.48687689  0.44456411 -2.24922019]
 [-0.03802153  0.73955072  0.66376793]]",6,1.230224720367608
[2.76355729 2.41565672 0.54568809],0.2902846772544622,0.9569403357322088,"[[-5.20276081 -5.96175312 -1.2845031 ]
 [-3.1990797  -1.71817485 -3.62081171]
 [-2.31602603 -7.30566606  0.70106571]
 [-0.58347749  0.79611305 -2.23604262]
 [-0.04854023  0.85028703  0.68327767]]",20,1.1708241206142207
[2.76355729 2.41565672 0.54568809],0.33688985339222,0.9415440651830207,"[[-5.42149188 -6.07534664 -1.01959725]
 [-3.42356841 -1.71552556 -3.45975511]
 [-2.35184855 -7.35359243  0.79709901]
 [-0.46556171  0.75628643 -2.05061561]
 [ 0.23349989  0.56749691  0.82054489]]",6,1.1316025720838767
[2.76355729 2.41565672 0.54568809],0.3826834323650898,0.9238795325112866,"[[-5.58929351 -5.86692766  0.12451533]
 [-3.27915719 -2.44700757 -3.58410295]
 [-2.66296073 -7.92294468  1.32470184]
 [-0.23214611  1.11170484 -2.20463087]
 [ 0.61972739  0.86850228  0.89026587]]",21,1.0728630996064525
[2.76355729 2.41565672 0.54568809],0.4275550934302819,0.9039892931234433,"[[-6.05750651 -5.8687707   0.34628322]
 [-3.24592846 -2.27986904 -3.64990955]
 [-2.64287403 -8.07085714  1.16281212]
 [-0.10178231  1.22100258 -2.12915724]
 [ 0.71354786  0.82367551  0.88322221]]",5,1.0225173338981752
[2.76355729 2.41565672 0.54568809],0.47139673682599753,0.8819212643483549,"[[-6.27549815e+00 -5.94720354e+00 -5.60404048e-03]
 [-3.13733907e+00 -2.51826918e+00 -3.37649174e+00]
 [-2.70024139e+00 -8.25791357e+00  7.08350198e-01]
 [ 1.79983730e-02  1.50049355e+00 -2.44835496e+00]
 [ 6.88923327e-01  1.15212206e+00  9.26938507e-01]]",9,0.984456597124617
[2.76355729 2.41565672 0.54568809],0.5141027441932217,0.857728610000272,"[[-6.65796411 -6.07579706  0.04167626]
 [-3.14651924 -2.35237517 -3.15559103]
 [-2.69255524 -8.19197606  0.52516151]
 [ 0.589767    1.21525218 -2.77295112]
 [ 0.60925981  1.15534284  1.00873273]]",6,0.94378308592488
