init_joint_angles,x_target,y_target,z_target,Theta,iter_count,cost
[0.         0.52359878 1.57079633 1.57079633],0.1338345018152441,0.0,0.1911354770007647,"[[-1.35089663 -1.46529456  1.8553018   8.00738636]
 [ 0.13290736 -1.19191714  0.49390874  5.46378939]
 [-0.51386026 -0.61098361 -0.65861219  2.97604956]
 [-0.90966718 -0.15420797 -1.0706043   0.52813102]
 [ 0.91600805 -0.7868862  -0.80293883 -0.88320392]]",24,156.62999863490802
[0.         0.52359878 1.57079633 1.57079633],0.1338345018152441,0.0,0.1911354770007647,"[[-1.69064556 -1.88798822  2.2938553  11.41234589]
 [-0.07555301 -2.18941099 -2.3486256   5.92315919]
 [ 0.91046405 -0.56936694  1.05756253  1.54861185]
 [-0.97136254  1.12581453  1.39636411 -0.07010774]
 [ 0.89269666  0.38304071 -1.14361513  3.30957155]]",25,156.62822245841204
[0.         0.52359878 1.57079633 1.57079633],0.1159040784748359,0.066917250907622,0.1911354770007647,"[[ 0.74273494 -2.72190031  0.92032024 10.55955978]
 [ 0.1145857  -2.85064842 -2.11919898  5.5073579 ]
 [ 2.88763378 -0.78082505  2.48830343  1.7641122 ]
 [-1.41158132  1.06788658  2.09640986  0.18634484]
 [ 2.10670111  0.21683421 -0.85504963  3.61702128]]",13,154.11125623973794
[0.         0.52359878 1.57079633 1.57079633],0.066917250907622,0.1159040784748359,0.1911354770007647,"[[ 2.27847866e+00 -2.06257294e+00  1.37567538e+00  1.01080568e+01]
 [ 1.09611691e+00 -3.31040484e+00 -1.92486519e+00  5.49946286e+00]
 [ 3.50908090e+00 -5.42501572e-01  2.23460175e+00  2.28602686e+00]
 [-7.36056894e-01  9.05060362e-01  8.53395188e-01  1.46762957e-02]
 [ 2.61409484e+00  6.72818711e-03 -1.18086538e+00  3.87552389e+00]]",14,154.09338280786503
[0.         0.52359878 1.57079633 1.57079633],8.194999713175966e-18,0.1338345018152441,0.1911354770007647,"[[ 4.37950143 -0.94242397  0.68417789  9.05122829]
 [ 1.42918217 -4.78721591 -0.83107881  4.91930882]
 [ 4.37864351 -0.38514952  1.67872508  2.0166146 ]
 [-0.29265894  0.71099372  1.33555186 -0.89672154]
 [ 2.24688193 -0.17207686 -1.90666671  4.1475265 ]]",36,154.01967932963555
[0.         0.52359878 1.57079633 1.57079633],-0.066917250907622,0.1159040784748359,0.1911354770007647,"[[ 5.69829546 -0.48002995 -0.98134641 11.22498867]
 [ 2.77817452 -5.11584473  0.33341657  4.41543916]
 [ 4.96089012 -0.18855011  2.53345621  2.33421754]
 [ 0.38279832  0.57341804  1.60673671 -0.59216232]
 [ 2.01481379 -0.17144474 -2.40248298  3.74439065]]",18,154.01745663134204
[0.         0.52359878 1.57079633 1.57079633],-0.1159040784748359,0.066917250907622,0.1911354770007647,"[[ 8.37532367  0.02696555 -0.85146808 11.29855156]
 [ 2.35224392 -5.43389282  0.3036859   3.94538247]
 [ 6.00254175  0.08995464  2.40409274  2.49612626]
 [ 0.34344405  1.28883748  1.57299619 -0.91466847]
 [ 3.25465237 -0.77091943 -2.4155326   4.012996  ]]",12,154.01806786789265
[0.         0.52359878 1.57079633 1.57079633],0.2600213178124742,0.0,0.3713489267443429,"[[-0.81006084 -0.04472522  0.34496634  0.5274261 ]
 [-0.05972984  0.14302069  1.07102866  0.74417035]
 [-0.19030623  0.25036692  0.72511888  0.05419859]
 [-0.36404557 -0.03602826 -0.50042236  0.53646537]
 [ 0.19409407  0.23873284 -0.14990565  0.19265915]]",20,6.525453614961727
[0.         0.52359878 1.57079633 1.57079633],0.2600213178124742,0.0,0.3713489267443429,"[[-0.92462785 -1.97698031  2.14031162  2.01622079]
 [-0.25580868 -0.28390547 -0.41805397 -0.23841339]
 [-1.83779159  1.71520565  0.73845719  1.29313527]
 [-1.47027824  0.8346203  -0.23002297  0.60259131]
 [ 1.83461585 -0.08386322 -0.00323838  0.33353614]]",84,5.385532483459279
[0.         0.52359878 1.57079633 1.57079633],0.2511613062607866,0.0672984691825236,0.3713489267443429,"[[ 2.9400934  -2.76058741  2.69084541 -0.71423848]
 [-0.60266158  0.16381978 -0.54597114  0.83821148]
 [-1.97973919  2.45947579  0.3331845   1.15897971]
 [-0.75003996  0.93103296  0.28756096  1.59355814]
 [ 2.46524103  0.28654422  0.29105862 -0.01255869]]",65,2.73403032113202
[0.         0.52359878 1.57079633 1.57079633],0.2251850667511098,0.1300106589062371,0.3713489267443429,"[[ 4.67450044 -4.71306274  4.39072277 -0.17873928]
 [-0.9324006   2.16692651 -2.10361761  1.08359517]
 [-2.05831031  1.98636145  0.20188655  1.55684397]
 [-0.33765505  1.35749465 -0.50790718  1.73273865]
 [ 2.99690452  0.2985782   0.21594826  0.03817113]]",31,2.277782768460417
[0.         0.52359878 1.57079633 1.57079633],0.1838628370782629,0.1838628370782629,0.3713489267443429,"[[  5.37620832 -12.18284039   5.5603437   -0.60738972]
 [ -0.13381668   2.58429549  -1.61854276   0.38766475]
 [ -2.74070396   2.21391145   1.1355934    0.18510379]
 [  0.22716446   3.42518623  -0.32229981   0.85427278]
 [  4.89965295  -0.48528462   0.98325805   0.71524117]]",114,3.667125613571919
[0.         0.52359878 1.57079633 1.57079633],0.1300106589062371,0.2251850667511098,0.3713489267443429,"[[  7.96849073 -13.26977641   3.79503584  -0.0414343 ]
 [ -1.35002267   1.28839906   0.27676168   1.11828096]
 [ -2.62923857   0.28441451   1.28052665   0.45301466]
 [  0.17322796   3.08122378  -0.83775506  -1.67240886]
 [  5.25911942   3.36880404   0.99996102  -1.04188422]]",85,3.708311484955714
[0.         0.52359878 1.57079633 1.57079633],0.0672984691825236,0.2511613062607866,0.3713489267443429,"[[  9.17276056 -13.24251163   3.27995564   0.8955277 ]
 [ -1.24164487   0.97923133   0.33062976   0.99680902]
 [ -2.00316956   0.26365344   1.74364644  -0.09791804]
 [  0.03833572   3.28557119  -0.76852876  -1.99537105]
 [  4.5657769    3.6430703    0.64518084  -0.72852295]]",10,3.587157850571697
[0.         0.52359878 1.57079633 1.57079633],7.3658044514213e-17,0.2600213178124742,0.3713489267443429,"[[11.64794542 -6.32618954  2.01131064  2.22129947]
 [ 0.33120062  4.02202653  2.7183052   0.54582134]
 [-3.84638675 -0.58999039 -0.18201135 -0.81782625]
 [-2.55319614  2.78013417 -0.79446902 -1.63998467]
 [ 4.33016651  0.80840167 -0.50672183 -1.68166707]]",165,2.984078375405792
[0.         0.52359878 1.57079633 1.57079633],-0.0672984691825236,0.2511613062607866,0.3713489267443429,"[[ 1.30888271e+01 -8.34086596e+00  8.11462746e-01  4.35357654e-01]
 [-2.91923575e-01  5.02628703e+00  5.32625725e+00  2.63143303e-01]
 [-2.35005591e+00 -6.18774840e-01 -1.29786016e+00 -1.35889465e-01]
 [-2.38577558e+00  3.99431374e+00 -1.07879616e+00 -1.66714379e+00]
 [ 3.54101579e+00  1.64653859e+00 -2.72888943e-01 -1.19866426e-02]]",87,3.0564083224422407
[0.         0.52359878 1.57079633 1.57079633],-0.130010658906237,0.2251850667511098,0.3713489267443429,"[[ 14.38661551 -10.25577979  -2.00716429   3.18553729]
 [  1.66832475   7.76830675   5.17436185  -1.8112309 ]
 [ -2.69286479  -1.2403715    1.30417355  -0.0995636 ]
 [ -3.77245688   4.5078782   -1.34933905   0.89575021]
 [  0.71817392  -0.29594977  -0.28864987   1.00489246]]",377,2.911543765151874
[0.         0.52359878 1.57079633 1.57079633],-0.1838628370782628,0.183862837078263,0.3713489267443429,"[[15.62826612 -9.82440727 -2.33040455  3.99871586]
 [ 1.62080182  7.39179571  5.03089055 -1.9428451 ]
 [-2.43803337 -1.33996275  1.52702103 -0.23525851]
 [-3.74340033  4.84815894 -1.39888789  0.50362864]
 [ 0.77846224 -0.36018468 -0.5029397   0.98429523]]",17,2.5684632507176204
[0.         0.52359878 1.57079633 1.57079633],-0.2251850667511098,0.1300106589062371,0.3713489267443429,"[[16.08490148 -9.81635899 -1.78537855  3.84280277]
 [ 2.66831965  6.95827503  4.86573206 -1.35822524]
 [-2.28209156 -1.61543427  1.36156917 -0.55108536]
 [-3.39294946  5.11950414 -1.90601065  0.52795151]
 [ 0.70882335 -0.07897087 -0.26050368  0.77289284]]",10,3.019120441619613
[0.         0.52359878 1.57079633 1.57079633],-0.2511613062607866,0.0672984691825237,0.3713489267443429,"[[16.9154961  -9.75691811 -1.68194165  3.94386467]
 [ 3.3637067   7.024166    4.73811036 -1.95597212]
 [-1.96041055 -1.40778776  1.60382805 -0.55423372]
 [-3.57506413  5.32959029 -2.337041    0.64136051]
 [ 0.70405118  0.27703789 -0.57000733  0.32619694]]",15,3.0216479409737524
[0.         0.52359878 1.57079633 1.57079633],0.2442592916808849,0.0,0.2910968883852116,"[[-1.85040762 -6.14250503  0.53542396  5.94580529]
 [ 0.39750214 -0.38097998  0.00829449  1.29548516]
 [-0.31922216 -0.17809992 -1.64757909  1.94753588]
 [-0.20818304  1.35073232 -0.41471006  0.69767829]
 [ 0.03578129  1.11234887 -0.2856728   0.34317728]]",71,6.046400722685396
[0.         0.52359878 1.57079633 1.57079633],0.2442592916808849,0.0,0.2910968883852116,"[[-0.90436502 -2.46200548 -0.72658548  5.22806269]
 [-0.2103495  -0.7057173  -0.63134427  2.17567119]
 [ 0.05701333 -0.02709439  0.48225086  1.94886623]
 [-0.27260389  0.68174548  0.77697986  0.66038532]
 [-0.2648794  -0.21678999 -0.71779229  0.03366959]]",31,6.073090252791417
