init_joint_angles,x_target,y_target,z_target,Theta,iter_count,cost,gen_q
[0.         0.52359878 1.57079633 1.57079633],0.3251433080793884,0.0,0.2728276298891755,"[[-0.04972595  2.36110884 -2.93886301 -2.78187925]
 [ 0.48824497  0.52324456  0.12726593 -0.25831043]
 [-0.89691074  0.47717354  0.07855417  0.05930553]
 [-0.10768707  0.62428755  0.01860175  0.67519874]
 [-0.10332554 -1.05978588 -0.41550183 -1.85720666]]",43,1.1008376843248089,[-0.03993843  1.0761936   1.07151651  1.04987852]
[0.         0.52359878 1.57079633 1.57079633],0.3251433080793884,0.0,0.2728276298891755,"[[-0.58030735  2.30948625 -2.38285732 -4.17866035]
 [ 0.46020295  1.22719652 -0.14181257  1.25751528]
 [ 0.23179115 -0.298263    0.21491626  0.08686182]
 [-0.12674601  0.38417352 -0.7731595   0.02262033]
 [-0.17765557 -0.31384411  0.20475852 -0.14439485]]",33,1.1207092675946866,[-0.02501833  1.09031661  1.1102094   1.02132702]
[0.         0.52359878 1.57079633 1.57079633],0.3180381466925064,0.0676010949408652,0.2728276298891755,"[[-2.99654735e-03  2.27030298e+00 -2.94544331e+00 -3.84588100e+00]
 [ 1.47923228e+00  4.36486586e-01  4.11855778e-01  8.25421814e-01]
 [-2.61461034e-01  6.57881217e-01 -9.59423718e-02  2.29187844e-01]
 [-3.24627096e-01  6.69822830e-01 -6.66420508e-01  6.93900557e-01]
 [ 2.71418673e-01 -2.60883539e-01  2.53153795e-01 -3.64184715e-01]]",15,1.0984547216547655,[0.1690473  1.0875682  1.06592217 1.06956086]
[0.         0.52359878 1.57079633 1.57079633],0.2970331921788141,0.1322476976467711,0.2728276298891755,"[[-0.42987862  2.30450582 -3.10889925 -4.00235834]
 [ 2.5127719   0.08407319  0.71056692  0.91071115]
 [ 0.67340681  0.86155175 -0.16182266  0.64076289]
 [-0.04310496  1.00843298 -0.37305305  0.81067564]
 [ 0.77503655 -0.60361886  0.59401878 -0.81683004]]",18,1.102244062330469,[0.36518793 1.07739626 1.09892819 1.092939  ]
[0.         0.52359878 1.57079633 1.57079633],0.2630464618435144,0.1911144413706526,0.2728276298891755,"[[ 4.02352862e-03  2.40163406e+00 -3.03461339e+00 -4.23094235e+00]
 [ 2.80836428e+00  9.96182279e-02  5.35245075e-01  7.41593762e-01]
 [ 1.12827618e+00  1.04396973e+00 -5.76480897e-01  8.28733608e-01]
 [ 2.74180125e-01  8.43939300e-01 -3.64548607e-01  9.85150520e-01]
 [ 1.56677320e+00 -1.03169635e+00  1.22268153e+00 -5.82657898e-01]]",9,1.105292230346668,[0.56781848 1.09522884 1.05981488 1.06409829]
[0.         0.52359878 1.57079633 1.57079633],0.2175633388886863,0.2416285669377997,0.2728276298891755,"[[ 0.10291121  1.8848299  -3.06632442 -3.18222894]
 [ 4.06131789  0.41495735  0.988603    0.66314152]
 [ 0.85694532  0.97357171 -0.60603857 -0.14594129]
 [ 0.47100273  1.84490998 -0.33890274 -0.29039554]
 [ 1.92438486 -1.48192778  0.48923734  0.9336276 ]]",32,1.1174061920930003,[0.75595867 1.09362231 1.10030262 1.09386633]
[0.         0.52359878 1.57079633 1.57079633],0.1625716540396942,0.2815823646672605,0.2728276298891755,"[[ 0.9458204   2.53616911 -3.98010364 -3.37981673]
 [ 4.31325407  0.12799464  1.44124681  0.54247514]
 [ 1.28083348  0.80201279 -0.25835363 -0.15900657]
 [ 0.88131532  1.69462372 -0.13893052 -0.07085792]
 [ 2.20871402 -1.90970803 -0.39425317  1.95757922]]",21,1.139341727022115,[1.01524453 1.1307533  1.03136261 1.07785335]
[0.         0.52359878 1.57079633 1.57079633],0.1004748078038201,0.309229661878665,0.2728276298891755,"[[ 1.12540367  2.33447922 -4.71250112 -2.13146361]
 [ 4.71988757  0.39951174  1.59941934  0.43024375]
 [ 1.56112792  1.00016653 -0.27591956 -1.10608864]
 [ 1.20447695  1.66049991  0.03197678 -0.64369892]
 [ 2.56932509 -1.91509462  0.16788425  0.798226  ]]",9,1.194543694512222,[1.16153319 1.15181505 0.94676453 1.12265114]
[0.         0.52359878 1.57079633 1.57079633],0.0339867303352996,0.3233621390174238,0.2728276298891755,"[[ 2.21720976  2.49283269 -4.42422305 -2.25005187]
 [ 5.01044105  0.42229213  1.64729421  0.51663347]
 [ 1.55808439  1.02748954 -0.30875232 -1.16539479]
 [ 0.77897211  1.60073123 -0.18334669 -0.57927881]
 [ 2.49343417 -1.94533015 -0.14449979  0.54012439]]",9,1.3999367786043808,[1.36640952 1.18128921 0.98037206 1.10605842]
[0.         0.52359878 1.57079633 1.57079633],-0.0339867303352996,0.3233621390174238,0.2728276298891755,"[[ 3.03108191e+00  2.47928050e+00 -4.69696393e+00 -1.64672334e+00]
 [ 4.98722891e+00  2.62995767e-01  1.37400153e+00  4.28776698e-01]
 [ 1.89865023e+00  8.75143409e-01 -2.96763215e-01 -1.38334605e+00]
 [ 1.58086467e+00  1.78464225e+00  4.96975688e-01 -6.28768282e-01]
 [ 2.45719378e+00 -2.05693569e+00 -4.69245864e-03  8.32984195e-01]]",9,1.6068406428413082,[1.58989668 1.14956999 0.94020688 1.18115522]
