init_joint_angles,x_target,y_target,Theta,iter_count,cost
[-1.2788356   0.75979713  0.48106151],0.4,0.0,"[[-1.25566091 -1.88466093  0.1325742 ]
 [-1.95956735  0.45326746  0.05597064]
 [-0.55607405 -0.3810749   0.29270251]
 [ 0.00986745 -0.36100487 -0.71750806]
 [-1.35355625 -0.88906432 -0.4074249 ]
 [ 0.05787    -0.20156946 -0.00510643]
 [-1.20210683  0.20209624  0.04830232]
 [-0.74566877  1.06609654 -0.43252459]
 [ 1.01520413  0.45984508  0.1805191 ]
 [ 0.28111451  0.66118582  0.12823555]]",12,8.616779860574843
[-1.2788356   0.75979713  0.48106151],2.4492935982947065e-17,0.4,"[[-2.42836445  0.41586429  0.68511504]
 [ 0.36441743  1.05132245 -0.83662972]
 [-1.99396747 -1.09437032 -0.26352895]
 [-1.17397961 -0.15739919 -0.25562261]
 [-2.63091401 -0.80832709  0.05840492]
 [ 0.74753211 -0.37108335  0.80136799]
 [-0.50527146 -0.21464992  0.03612054]
 [-0.69578491 -0.59503603 -0.55486263]
 [ 0.91680086 -0.22670758 -0.08400643]
 [ 1.14916106 -0.20546034 -0.45256542]]",12,8.707490278072106
[-1.2788356   0.75979713  0.48106151],-0.4,4.898587196589413e-17,"[[-0.90414777 -1.70484533 -2.02097261]
 [-2.21679999 -3.23601198  0.13085856]
 [-1.58409998  0.25700009 -0.22497143]
 [-2.98123421 -1.65760398 -0.11553805]
 [-0.76768936  0.74944522  0.43897362]
 [-1.80060351  1.15500901 -0.1863152 ]
 [-1.20092698  0.0230146   0.32638707]
 [-0.39306873  1.40758482 -0.17375885]
 [ 0.26432437  0.64159911 -0.04817775]
 [ 0.89535636  0.49144822 -1.25852066]]",35,8.384755611986119
[-1.2788356   0.75979713  0.48106151],-7.347880794884119e-17,-0.4,"[[-2.28722636 -1.56901604  0.56305501]
 [-2.18283683 -1.21142709 -1.50464149]
 [-0.20958884 -0.56219469  0.34170986]
 [-2.28097806 -0.37996188 -0.1964292 ]
 [-0.61202801  0.63567684 -1.35986091]
 [-1.92142413  0.17593124  0.21573676]
 [-3.92517664  0.3606101  -0.33743965]
 [ 0.49731868 -0.22570988  0.15409629]
 [-0.65191318  0.11443258 -0.06332754]
 [-0.50593358 -0.35630684 -0.50142287]]",22,8.505960118475976
[-1.2788356   0.75979713  0.48106151],0.4,-9.797174393178826e-17,"[[-0.99497    -1.13759018  0.77086882]
 [-0.81806386 -0.72562957 -0.27841029]
 [-0.80713837  0.40990986  0.82410274]
 [-1.32309532 -0.07425964  0.15277328]
 [-1.03491146 -0.78441635 -0.08120197]
 [-0.61456511  0.66159313 -0.25701593]
 [-1.4965613   0.05533196  0.03821309]
 [-0.90309772  0.07342392 -0.27666155]
 [-0.52551947 -0.32169985  0.34664545]
 [ 0.62501576 -0.24431774 -0.30290023]]",12,8.642644070798918
[-1.2788356   0.75979713  0.48106151],0.52,0.0,"[[-0.78681942 -0.29939549 -0.52345483]
 [-1.39684057 -0.43243209  0.02528456]
 [-1.57183845 -0.26120909 -0.89070688]
 [-0.61855834  0.15107744  0.49130332]
 [-0.38957575 -0.09512983  0.14811426]
 [-0.2965819  -0.40642532 -0.37919693]
 [-1.67788219  0.38945645  0.35963161]
 [-0.4223261  -0.07610696  1.02735372]
 [-0.48115541  0.35866797  0.69509402]
 [-0.07403825  0.0349571   0.1052928 ]]",11,14.208735302372023
[-1.2788356   0.75979713  0.48106151],0.16068883707497267,0.49454938847347985,"[[-1.01563048  0.26087224 -0.71018429]
 [-1.11713554  0.11524379  0.03173826]
 [-0.63553124 -0.51138957 -0.10931839]
 [-1.3159627   0.0304202  -0.01098761]
 [-0.3014914   0.0297449   0.1473633 ]
 [-0.64528741  0.22645542  0.37208933]
 [-0.17879746  0.17383226 -0.0814054 ]
 [-0.83266537 -0.61297935 -0.24736565]
 [-0.92625905 -0.12014872 -0.16638073]
 [-1.26618879  0.40580771  0.15892424]]",10,6.334713974300893
[-1.2788356   0.75979713  0.48106151],-0.4206888370749726,0.3056483311920861,"[[-1.61979784 -4.16009477 -2.50504514]
 [ 1.06555245  0.81528856 -0.21647522]
 [-1.61788541 -2.31168746 -1.94740024]
 [-2.37792939 -0.6838605   0.5166285 ]
 [-1.50675804 -2.32010821 -0.52973795]
 [ 0.36869928 -0.05606191 -0.90321399]
 [ 0.72410077 -1.84903304 -0.45559494]
 [-0.65229915  1.04925923 -0.67384288]
 [ 0.04506195 -0.65554064 -0.55810308]
 [-0.00926302  0.42694905 -0.09098241]]",23,26.45729127986222
[-1.2788356   0.75979713  0.48106151],-0.4206888370749727,-0.305648331192086,"[[ -0.64433334 -10.38216819  -6.53127059]
 [ -2.34537579  -2.5223418   -1.0500705 ]
 [  0.21537556   1.32286706  -2.00933962]
 [ -1.53667977  -3.18438639  -2.81470227]
 [ -0.66535026  -1.62814777   0.98957527]
 [ -0.74395898   2.24497711  -3.44611205]
 [  1.828739     2.83655229  -0.24419777]
 [  0.75505945  -3.46269611   0.29352453]
 [  0.3545768   -2.01315064   1.83342613]
 [ -0.07370312   1.49889692   2.71700557]]",37,0.162024421526
[-1.2788356   0.75979713  0.48106151],0.16068883707497256,-0.4945493884734799,"[[-1.75779705 -1.10757835 -1.63472242]
 [-0.51967425 -0.72081312 -0.40518247]
 [-2.20220989 -1.51594296 -0.38063086]
 [-3.18610568 -0.58459671  0.74560483]
 [-1.30302786 -1.40660425  0.27439754]
 [-0.99311517 -0.69512612 -0.65888777]
 [-0.65351773  0.3052687  -0.75794397]
 [ 0.27128147 -0.42304067  0.86832246]
 [ 1.18635564 -0.14362815  1.20246053]
 [ 0.50198299 -0.14306388  0.34371748]]",19,21.79858218968727
