init_joint_angles,x_target,y_target,Theta,iter_count,cost
[ 0.53623095 -2.44887214],0.6,0.0,"[[-3.48573555  2.92546685]
 [-1.0769412   0.71726378]
 [-0.09194794 -1.96637198]
 [-0.30857397 -1.11163421]
 [-0.64960408  1.21820904]]",34,17.730629985636895
[ 0.53623095 -2.44887214],0.45962666587138684,0.38567256581192355,"[[-3.34089464  4.27195985]
 [-1.22788073  1.06901159]
 [ 0.16946712 -1.62440436]
 [-0.09021583 -1.41729866]
 [-0.58892154  1.17850358]]",15,0.05310893256759927
[ 0.53623095 -2.44887214],0.10418890660015824,0.5908846518073247,"[[-4.13915419  4.76762425]
 [-2.04968351  2.32156555]
 [ 0.03353486 -1.21493328]
 [-0.44245453 -1.3100282 ]
 [-1.21108837  1.24429095]]",26,11.319121249027605
[ 0.53623095 -2.44887214],-0.30000000000000004,0.5196152422706631,"[[-5.03009515  5.05886301]
 [-2.98740589  2.65097442]
 [-0.40078469 -1.51771819]
 [-0.41112126 -1.74437122]
 [-1.88685751  1.11924906]]",10,32.71618858997453
[ 0.53623095 -2.44887214],-0.563815572471545,0.20521208599540133,"[[-5.60947522  6.06348489]
 [-4.42397733  2.47157852]
 [-1.21585697 -2.38727364]
 [-0.33298404 -1.60415365]
 [-2.91590952  1.73925007]]",18,28.29191281357248
[ 0.53623095 -2.44887214],-0.563815572471545,-0.2052120859954012,"[[-6.42251892  4.85166891]
 [-4.85481582  1.1818676 ]
 [-1.67389401 -3.01342554]
 [-0.65759821 -1.34806585]
 [-3.4059143   2.01015779]]",12,4.883702720238191
[ 0.53623095 -2.44887214],-0.29999999999999977,-0.5196152422706632,"[[-6.64945489  4.87527154]
 [-4.89905284  1.0041831 ]
 [-1.68187901 -3.05189499]
 [-0.63720654 -1.21001772]
 [-3.99232661  1.89067661]]",5,0.8177025746044393
[ 0.53623095 -2.44887214],0.10418890660015798,-0.5908846518073249,"[[-4.94423759  4.28361528]
 [-4.64646967  0.68986679]
 [-1.85921819 -3.26878081]
 [-0.35263291 -1.06619714]
 [-4.67972075  1.58646356]]",10,22.85410748686768
[ 0.53623095 -2.44887214],0.45962666587138673,-0.3856725658119237,"[[-3.22154888  4.55101639]
 [-3.82946419  0.77360268]
 [-1.64059475 -3.30428561]
 [-0.06815967 -0.97653672]
 [-4.50702136  1.10841475]]",11,34.91429687809199
[ 0.53623095 -2.44887214],0.6,-1.4695761589768238e-16,"[[-2.8373622   5.50278947]
 [-2.75875638  1.03744977]
 [-1.06934228 -2.82272263]
 [ 0.63817121 -0.77721496]
 [-3.58648292  1.04185837]]",13,17.503859276935845
[ 0.53623095 -2.44887214],0.7,0.0,"[[-2.60264699  6.02224714]
 [-3.20503279  1.81423777]
 [-1.05175225 -2.91729479]
 [ 0.67337991 -0.91520988]
 [-3.86903996  0.89490786]]",20,23.976368361572572
[ 0.53623095 -2.44887214],0.5888774729818268,0.37844857221891826,"[[-3.06718323  6.80193688]
 [-2.78648323  2.23989659]
 [-0.75554257 -2.74308722]
 [ 1.40234724 -0.21531884]
 [-3.73522334  0.77210143]]",31,1.750297815080946
[ 0.53623095 -2.44887214],0.2907905091013205,0.6367423967481628,"[[-3.41442954  8.313592  ]
 [-3.08574638  1.90068261]
 [-0.96057674 -2.75895031]
 [ 0.94378672 -0.41749055]
 [-3.8295815   0.74081447]]",27,5.370111206587382
[ 0.53623095 -2.44887214],-0.0996203867912995,0.6928750093166529,"[[-3.97164473  8.22354831]
 [-3.57141976  2.06512209]
 [-0.99191477 -2.79099759]
 [ 0.53443168 -1.07016705]
 [-3.70595404  0.2284655 ]]",12,30.608604284983393
[ 0.53623095 -2.44887214],-0.45840251376169944,0.5290247020479808,"[[-4.57678072  7.22418019]
 [-3.93079001  1.33022848]
 [-1.43020964 -2.99571112]
 [ 0.38777695 -0.92681207]
 [-3.32165913  0.23988134]]",9,47.76179997907817
[ 0.53623095 -2.44887214],-0.6716450815301481,0.19721278978900073,"[[-5.23604175e+00  6.82797654e+00]
 [-4.53344721e+00  1.18990809e+00]
 [-2.25860130e+00 -3.05808487e+00]
 [ 1.57502079e-04 -1.38618415e+00]
 [-3.72454659e+00  5.28666890e-01]]",9,36.42145840540569
[ 0.53623095 -2.44887214],-0.6716450815301482,-0.19721278978900061,"[[-5.45708292  6.15116624]
 [-6.17836802  0.64955678]
 [-2.3975854  -3.48732587]
 [-0.39114586 -1.75762361]
 [-3.8904456   0.38105737]]",15,9.617346076918935
[ 0.53623095 -2.44887214],-0.4584025137616996,-0.5290247020479807,"[[-7.38190489  5.08260657]
 [-7.95251896 -0.6614047 ]
 [-3.78178493 -4.2415611 ]
 [-0.66735483 -2.17833176]
 [-3.65940736  0.85263696]]",32,-1.9215845727882155
[ 0.53623095 -2.44887214],-0.09962038679129967,-0.6928750093166528,"[[-7.8973576   4.03863172]
 [-8.37877158 -0.94102393]
 [-3.44108115 -4.21322377]
 [-0.62888029 -2.45802819]
 [-3.72273441  0.84194808]]",7,15.188197971116294
[ 0.53623095 -2.44887214],0.29079050910132076,-0.6367423967481627,"[[-16.23889869   0.88989867]
 [-12.93596169  -4.58577203]
 [ -3.95821306  -4.44016404]
 [  1.52426109  -2.26492357]
 [ -3.97518912   1.21598891]]",44,39.56739829191929
[ 0.53623095 -2.44887214],0.5888774729818268,-0.3784485722189182,"[[-20.22455341  -7.35819542]
 [-12.3045344   -6.27807768]
 [ -4.46795015  -4.64241655]
 [  1.70231862  -2.99556401]
 [ -5.0808289    2.03840368]]",81,41.63117172117743
